gene_simple,gene_tanaka,gene_lehallier,seqid_sl,seqid_dot,seqid_full
DCTPP1,,DCTPP1,,4314.12.2,DCTPP1.4314.12.2
MENT,,MENT,,5744.12.3,MENT.5744.12.3
ASPN,,ASPN,,6451.64.3,ASPN.6451.64.3
IGLON5,,IGLON5,,6478.2.3,IGLON5.6478.2.3
ATP1B2,,ATP1B2,,7218.87.3,ATP1B2.7218.87.3
THBS2,,THBS2,,3339.33.1,THBS2.3339.33.1
TREM1,,TREM1,,9266.1.3,TREM1.9266.1.3
PPY,,PPY,,4588.1.2,PPY.4588.1.2
CHRDL1,,CHRDL1,,3362.61.2,CHRDL1.3362.61.2
NFASC,,NFASC,,7179.69.3,NFASC.7179.69.3
SGCB,,SGCB,,7034.4.3,SGCB.7034.4.3
SHISA3,,SHISA3,,7057.18.3,SHISA3.7057.18.3
TNFRSF11B,,TNFRSF11B,,8304.50.3,TNFRSF11B.8304.50.3
NCAM1,,NCAM1,,4498.62.2,NCAM1.4498.62.2
POFUT2,,POFUT2,,6042.52.3,POFUT2.6042.52.3
PRSS22,,PRSS22,,4534.10.2,PRSS22.4534.10.2
TMEM132B,,TMEM132B,,8890.9.3,TMEM132B.8890.9.3
LRRTM2,,LRRTM2,,6904.14.3,LRRTM2.6904.14.3
ENPP5,,ENPP5,,6556.5.3,ENPP5.6556.5.3
NAGPA,,NAGPA,,11208.15.3,NAGPA.11208.15.3
FAM3B,,FAM3B,,9177.6.3,FAM3B.9177.6.3
TNXB,,TNXB,,5698.60.3,TNXB.5698.60.3
IL22RA2,,IL22RA2,,5087.5.3,IL22RA2.5087.5.3
NID1,,NID1,,3213.65.2,NID1.3213.65.2
SFTPC,,SFTPC,,5738.25.3,SFTPC.5738.25.3
NPW,,NPW,,9986.14.3,NPW.9986.14.3
LECT1,,LECT1,,9928.125.3,LECT1.9928.125.3
NTN4,,NTN4,,3327.27.1,NTN4.3327.27.1
INSL5,,INSL5,,10462.14.3,INSL5.10462.14.3
F10,,F10,,4878.3.1,F10.4878.3.1
DCBLD2,,DCBLD2,,9338.2.3,DCBLD2.9338.2.3
LRRTM4,,LRRTM4,,6572.10.3,LRRTM4.6572.10.3
SIGLEC7,,SIGLEC7,,2742.68.2,SIGLEC7.2742.68.2
SFN,,SFN,,4829.43.6,SFN.4829.43.6
LEP,,LEP,,8484.24.3,LEP.8484.24.3
ATF6,,ATF6,,11277.23.3,ATF6.11277.23.3
IL1RN,,IL1RN,,5353.89.2,IL1RN.5353.89.2
F8,,F8,,13499.30.3,F8.13499.30.3
IFI16,,IFI16,,13940.19.3,IFI16.13940.19.3
KDR,,KDR,,3651.50.5,KDR.3651.50.5
MCFD2,,MCFD2,,10476.23.3,MCFD2.10476.23.3
CHRDL2,,CHRDL2,,6086.15.3,CHRDL2.6086.15.3
