SOMAID,Gene,UniProt,Weight,seqid_sl,seqid_dot
11278-4,COL11A2,P13942,-0.001365426223774535,SL009488,seq.11278.4
11279-42,GABBR1,Q9UBS5,-0.1672437418886867,SL019373,seq.11279.42
11280-6,GAD1,Q99259,0.00015542394160016003,SL019348,seq.11280.6
11281-6,GRB7,Q14451,-0.0004786740956213254,SL002520,seq.11281.6
11283-13,DCAF5,Q96JK2,0.0,SL019361,seq.11283.13
11284-24,LAIR1,Q6GTX8,0.0,SL005432,seq.11284.24
11286-78,SELENOS,Q9BQE4,-0.00020796507458211002,SL007632,seq.11286.78
11287-14,CYB5A,P00167,-1.584488350096599e-05,SL005251,seq.11287.14
11288-26,NT5C2,P49902,-0.06290399728354339,SL019349,seq.11288.26
11289-31,CSNK1D,P48730,0.0,SL019354,seq.11289.31
11292-13,SCARA3,Q6AZY7,0.0017466159579907934,SL007481,seq.11292.13
11293-14,LRRN1,Q6UXK5,-0.0005890988372307678,SL015032,seq.11293.14
11297-54,NOTCH2,Q04721,-0.04903898088528507,SL007356,seq.11297.54
11300-32,SORT1,Q99523,0.013208018842631015,SL008851,seq.11300.32
11302-237,TNR,Q92752,0.008656948464341159,SL008783,seq.11302.237
11303-7,SAMHD1,Q9Y3Z3,-9.54636304879903e-05,SL008335,seq.11303.7
11307-33,WWP1,Q9H0M0,0.008459659684990817,SL007655,seq.11307.33
11308-8,CREB3L4,Q8TEY5,0.0,SL019414,seq.11308.8
11311-79,RAG1,P15918,-0.0002805878441261639,SL004573,seq.11311.79
11312-40,PMS2,P54278,0.027753635540314292,SL019432,seq.11312.40
11313-100,PCBD1,P61457,-0.0003943177970616391,SL008857,seq.11313.100
11315-148,PPM1D,O15297,-0.0002458591983858649,SL013714,seq.11315.148
